reviewer_page,product_initial_url,product_page
https://www.nytimes.com/wirecutter/gifts/best-gifts-toys-for-1-year-olds/,https://www.nytimes.com/wirecutter/out/link/29123/194530/4/169575/?merchant=lil%20Tulips,https://www.liltulips.com/products/6-piece-rainbow
https://www.nytimes.com/wirecutter/gifts/best-gifts-toys-for-1-year-olds/,https://www.nytimes.com/wirecutter/out/link/48859/177747/4/140531/?merchant=Manhattan%20Toy,https://www.manhattantoy.com/collections/wee-baby-stella/products/stella-collection-feeding-set
https://www.nytimes.com/wirecutter/gifts/best-gifts-toys-for-1-year-olds/,https://www.nytimes.com/wirecutter/out/link/35191/174467/4/102776/?merchant=The%20Wooden%20Wagon,https://thewoodenwagon.com/woodentoy/BSH10900.html
https://www.nytimes.com/wirecutter/gifts/best-gifts-toys-for-1-year-olds/,https://www.nytimes.com/wirecutter/out/link/35196/186873/4/169579/?merchant=Crate%20%26%20Barrel,https://www.crateandbarrel.com/large-dino-kids-lounge-nod-chair/s402528
https://www.nytimes.com/wirecutter/gifts/best-gifts-toys-for-1-year-olds/,https://www.nytimes.com/wirecutter/out/link/48845/177730/4/169554?merchant=Manhattan%20Toy,https://www.manhattantoy.com/collections/wee-baby-stella/products/wee-baby-stella-doll-brown
https://www.nytimes.com/wirecutter/gifts/best-gifts-toys-for-1-year-olds/,https://www.nytimes.com/wirecutter/out/link/53707/186589/4/169558?merchant=Goodevas,https://goodevas.com/products/2in1-montessori-climbing-set-triangle-ladder-slide-board-ramp-beige
https://www.theverge.com/23912370/google-pixel-8-pro-review-camera-assistant-magic-editor-best-take-audio-eraser,https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fstore.google.com%2Fconfig%2Fpixel_8_pro&xcust=___vg__p_23676411__i_10193__t_w__d_D,https://store.google.com/config/pixel_8_pro?hl=en-US&selections=eyJwcm9kdWN0RmFtaWx5IjoiY0dsNFpXeGZPRjl3Y204PSJ9
https://www.nytimes.com/wirecutter/gifts/best-gifts-toys-for-1-year-olds/,https://www.nytimes.com/wirecutter/out/link/57878/194442/4/169572/?merchant=I%20See%20Me!,https://www.iseeme.com/en-us/my-very-own-name-personalized-book.html
https://www.nytimes.com/wirecutter/gifts/best-gifts-toys-for-1-year-olds/,https://www.nytimes.com/wirecutter/out/link/57878/194442/4/169549?merchant=I%20See%20Me!,https://www.iseeme.com/en-us/my-very-own-name-personalized-book.html
https://www.nytimes.com/wirecutter/gifts/best-gifts-toys-for-1-year-olds/,https://www.nytimes.com/wirecutter/out/link/57879/194443/4/169574/?merchant=I%20See%20Me!,https://www.iseeme.com/en-us/personalized-baby-gift-ideas/my-very-own-fairy-tale-personalized-book.html
https://www.nytimes.com/wirecutter/gifts/best-gifts-toys-for-1-year-olds/,https://www.nytimes.com/wirecutter/out/link/35177/157290/4/169553?merchant=Pinhole%20Press,https://pinholepress.com/abc-board-book
